alpha (deg),Axial torque (N*m)
0,-5.710483524410733E-13
-2.5,6.588388980905317E-11
-5,7.091262689587842E-11
-7.499999999999999,8.302117742082642E-11
-10,1.0101822772138575E-10
-12.5,1.2883210915519297E-10
-14.999999999999998,1.6159516617020105E-10
-17.5,1.9023517618192893E-10
-20,2.604897263750017E-10
-22.5,3.3888679953770883E-10
-25,3.7517439680346176E-10
-27.5,4.454257802267889E-10
-29.999999999999996,5.122948473743411E-10
-32.5,5.509973714625675E-10
-35,6.407457703430662E-10
-37.5,6.603628130572111E-10
-40,7.255695049975019E-10
-42.5,8.225259500349631E-10
-45,8.680563560208839E-10
-47.5,1.0782770225945865E-9
-50,1.1487171023225538E-9
-52.50000000000001,1.4286159870862785E-9
-55,1.5133417467008698E-9
-57.5,1.756939689998412E-9
-59.99999999999999,1.559776376105698E-9
-62.50000000000001,2.023480832962449E-9
-65,2.3323528784678648E-9
-67.5,2.3684687298262546E-9
-70,2.3360492441392915E-9
-72.5,4.19542485305072E-9
-75,3.4262251677370632E-9
-77.5,3.386552122296982E-9
-80,2.7051692587771575E-9
-82.5,2.618681046824784E-9
-85,2.4400705265849157E-9
-87.5,1.4419009088298696E-9
-90,8.310269498908183E-10
