alpha (deg),Total electric energy (J)
0,9.187909840430801E-11
-2.5,9.646888662174261E-11
-5,1.0298697411645384E-10
-7.499999999999999,1.1047756721492149E-10
-10,1.192547180948857E-10
-12.5,1.2942283749572053E-10
-14.999999999999998,1.4162397717724127E-10
-17.5,1.5649000298480035E-10
-20,1.7495378274020487E-10
-22.5,1.991326915026089E-10
-25,2.2901287828093906E-10
-27.5,2.618486448676792E-10
-29.999999999999996,2.975879104541516E-10
-32.5,3.366272898677088E-10
-35,3.7909476545041883E-10
-37.5,4.256150282251726E-10
-40,4.760029847316554E-10
-42.5,5.31477023365561E-10
-45,5.910610681899817E-10
-47.5,6.570161890161121E-10
-50,7.301073943390412E-10
-52.5,8.10584842279325E-10
-55,8.932845798818199E-10
-57.5,9.8493512100302E-10
-59.99999999999999,1.0856306425841648E-9
-62.50000000000001,1.2004423950514315E-9
-65,1.3168463131754285E-9
-67.5,1.4459904078433208E-9
-70,1.5711744548547402E-9
-72.5,1.7084720353427767E-9
-75,1.8607082331621333E-9
-77.5,2.0093260193326594E-9
-80,2.154540185691871E-9
-82.5,2.2902214059961702E-9
-85,2.4120378452698872E-9
-87.5,2.5045596329854364E-9
-90,2.568843585210032E-9
