alpha (deg),1 (m^2)
0,2.000000000000013E-6
2.5,1.860416088546869E-6
5,1.7246694098450884E-6
7.499999999999999,1.5918636754313714E-6
10,1.461117468027832E-6
12.5,1.331549254548242E-6
14.999999999999998,1.2022619345409956E-6
17.5,1.0723263720275314E-6
20,9.40763283064492E-7
22.5,8.06522733273643E-7
25,6.831007915762487E-7
27.5,5.828402851000993E-7
29.999999999999996,5.000000000000015E-7
32.5,4.305794983517837E-7
35,3.717233978105508E-7
37.5,3.213398158522907E-7
40,2.7786191343020605E-7
42.5,2.400936164611242E-7
45,2.0710678118654945E-7
47.5,1.7817085245463234E-7
50,1.5270364466613879E-7
52.50000000000001,1.3023620700513126E-7
55,1.1038729438072697E-7
57.5,9.284452371708082E-8
59.99999999999999,7.735026918962334E-8
62.50000000000001,6.369097343316916E-8
65,5.168895948124806E-8
67.5,4.119610014619683E-8
70,3.208888623795473E-8
72.5,2.426456257040493E-8
75,1.763809020504108E-8
77.5,1.2139757157254565E-8
80,7.713305942872529E-9
82.5,4.314480290076536E-9
85,1.909918771673659E-9
87.5,4.763425816599793E-10
