alpha (deg),"Electric potential (V), Potential bewegliche Platte"
0,9.90076491425636
-2.5,10.395354161825871
-5,11.097734279790695
-7.499999999999999,11.904910260228593
-10,12.850723932638427
-12.5,13.946426454280333
-14.999999999999998,15.261204437202592
-17.5,16.863146873362247
-20,18.852778312522194
-22.5,21.458264170539742
-25,24.678111883721403
-27.5,28.216448800395565
-29.999999999999996,32.06766276445676
-32.5,36.27449244263872
-35,40.85072903560591
-37.5,45.86368838633556
-40,51.29342507884048
-42.5,57.27123096611602
-45,63.69192545151144
-47.5,70.79915829915078
-50,78.67536576929218
-52.5,87.34750455595162
-55,96.25911421139875
-57.5,106.13525010806974
-59.99999999999999,116.98606062329456
-62.50000000000001,129.35801670812666
-65,141.90154236799793
-67.5,155.81793187968333
-70,169.3075921179956
-72.5,184.10259001533578
-75,200.50735271154042
-77.5,216.52220035908698
-80,232.17027863059064
-82.5,246.79109978408763
-85,259.917871257477
-87.5,269.88789148556367
-90,276.8150415097234
